"Date","Price","Open","High","Low","Vol.","Change %"
"09/12/2022","1,716.42","1,766.99","1,782.74","1,694.08","727.78K","-2.86%"
"09/11/2022","1,766.93","1,774.38","1,786.73","1,722.62","467.42K","-0.42%"
"09/10/2022","1,774.38","1,718.84","1,788.10","1,707.81","470.19K","3.23%"
"09/09/2022","1,718.81","1,635.33","1,743.47","1,631.17","969.87K","5.14%"
"09/08/2022","1,634.85","1,629.63","1,660.56","1,595.90","772.84K","0.33%"
"09/07/2022","1,629.51","1,557.85","1,657.05","1,493.19","976.59K","4.60%"
"09/06/2022","1,557.85","1,617.40","1,686.23","1,556.09","1.18M","-3.66%"
"09/05/2022","1,617.07","1,578.90","1,628.77","1,557.66","571.75K","2.42%"
"09/04/2022","1,578.89","1,557.35","1,580.81","1,541.16","339.06K","1.37%"
"09/03/2022","1,557.55","1,575.31","1,581.37","1,535.98","378.79K","-1.13%"
"09/02/2022","1,575.34","1,585.55","1,647.50","1,547.68","1.04M","-0.64%"
"09/01/2022","1,585.48","1,554.57","1,597.48","1,514.75","823.90K","1.95%"
"08/31/2022","1,555.12","1,523.39","1,617.09","1,523.39","1.07M","2.09%"
"08/30/2022","1,523.34","1,552.56","1,605.30","1,475.68","1.14M","-1.88%"
"08/29/2022","1,552.60","1,426.25","1,559.46","1,424.33","931.76K","8.86%"
"08/28/2022","1,426.25","1,490.88","1,507.92","1,424.69","633.35K","-4.33%"
"08/27/2022","1,490.83","1,508.32","1,518.14","1,449.31","866.82K","-1.14%"
"08/26/2022","1,508.08","1,695.38","1,703.32","1,490.67","1.34M","-11.05%"
"08/25/2022","1,695.37","1,656.64","1,720.84","1,654.77","677.67K","2.34%"
"08/24/2022","1,656.64","1,665.30","1,691.25","1,606.06","827.20K","-0.50%"
